"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 13:18:06 GMT 2023","Sun Apr 23 13:18:14 GMT 2023","7142","vizsgaremek_teszt","conduit_test","TestConduit","","","ÚJ ADAT BEVITEL",""
"passed","Sun Apr 23 13:17:53 GMT 2023","Sun Apr 23 13:17:59 GMT 2023","5394","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATOK LISTÁZÁSA",""
"passed","Sun Apr 23 13:19:01 GMT 2023","Sun Apr 23 13:19:08 GMT 2023","6331","vizsgaremek_teszt","conduit_test","TestConduit","","","MEGLÉVŐ ADAT MÓDOSÍTÁS",""
"passed","Sun Apr 23 13:18:32 GMT 2023","Sun Apr 23 13:18:47 GMT 2023","14635","vizsgaremek_teszt","conduit_test","TestConduit","","","ADAT VAGY ADATOK TÖRLÉSE",""
"passed","Sun Apr 23 13:18:48 GMT 2023","Sun Apr 23 13:18:54 GMT 2023","5445","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATOK LEMENTÉSE FELÜLETRŐL",""
"passed","Sun Apr 23 13:18:00 GMT 2023","Sun Apr 23 13:18:05 GMT 2023","5445","vizsgaremek_teszt","conduit_test","TestConduit","","","TÖBB OLDALAS LISTA BEJÁRÁSA",""
"passed","Sun Apr 23 13:18:15 GMT 2023","Sun Apr 23 13:18:31 GMT 2023","16535","vizsgaremek_teszt","conduit_test","TestConduit","","","ISMÉTELT ÉS SOROZATOS ADATBEVITEL ADATFORRÁSBÓL",""
"passed","Sun Apr 23 13:18:55 GMT 2023","Sun Apr 23 13:19:00 GMT 2023","5328","vizsgaremek_teszt","conduit_test","TestConduit","","","KIJELENTKEZÉS",""
"passed","Sun Apr 23 13:17:42 GMT 2023","Sun Apr 23 13:17:42 GMT 2023","157","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATKEZELÉSI NYILATKOZAT HASZNÁLATA",""
"passed","Sun Apr 23 13:17:47 GMT 2023","Sun Apr 23 13:17:52 GMT 2023","5287","vizsgaremek_teszt","conduit_test","TestConduit","","","BEJELENTKEZÉS",""
"passed","Sun Apr 23 13:17:43 GMT 2023","Sun Apr 23 13:17:46 GMT 2023","2552","vizsgaremek_teszt","conduit_test","TestConduit","","","REGISZTRÁCIÓ",""
